ILN	ELN	Name der Einrichtung	ISIL
0065	0003/0019	ULB Halle,  Zweigbibliothek Geowissenschaften	DE-3-19 
0065	0003/0026	ULB Halle, Zweigbibliothek Klassische Altertumswissenschaften 	DE-3-26
0065	0003/0027	ULB Halle, Zweigbibliothek Wirtschaftswissenschaften	DE-3-27 
0065	0003/0038	ULB Halle, Zweigbibliothek Musik 	DE-3-38
0065	0003/0150	ULB Halle, Zweigbibliothek Universitätsklinikum 	DE-3-150
0065	0003/0179	ULB Halle, Zweigbibliothek Europäische Aufklärung / Interdisziplinäres Zentrum für die Erforschung der Europäischen Aufklärung 	DE-3-179
0066	3066	Burg Giebichenstein Kunsthochschule Halle, Hochschulbibliothek 	DE-Ha125
0069	0009	UB Greifswald	DE-9
0070	0089	Technische Informationsbibliothek (TIB) / Leibniz-Informationszentrum Technik und Naturwissenschaften und Universitätsbibliothek 	DE-89
0072	0035	Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek (GWLB) Hannover	DE-35
0073	0095	Stiftung Tierärztliche Hochschule Hannover, Bibliothek (TiHo) Hannover	DE-95
0074	0354	Medizinische Hochschule Hannover, Bibliothek (MHH) Hannover	DE-354
0077	3077	Nds. Landtag, Hannover	DE-Hv14
0078	0115	StB Hannover	DE-115
0090	3090	UB Hildesheim	DE-Hil2
0091	3091	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Bibliothek, Elektronische Ressourcen 	DE-Hil3
0091	3091/0001	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Bibliothek Naturwissenschaften und Technik	 DE-Hil3-1
0091	3091/0002	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Ressourcenmanagement 	DE-Hil3-2
0091	3091/0003	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Bibliothek Management, Soziale Arbeit, Bauen	DE-Hil3-3
0091	3091/0009	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Campus-Bibliothek 	DE-Hil3-9
